2.226,4.575,9.029,9.958,-20.102,-12.487,-19.462,0
2.232,4.615,8.803,9.81,-19.132,-12.128,19.704,0
2.25,4.648,8.868,9.867,-19.242,-12.198,19.948,0
2.242,4.631,8.826,9.838,-19.172,-12.154,-20.234,0
2.638,5.444,10.384,10.109,20.367,12.831,-21.013,0
2.344,4.832,9.176,10.162,-19.941,-12.649,20.031,0
2.241,4.631,8.601,9.206,18.169,11.819,18.418,0
2.264,4.677,8.904,9.912,-19.332,-12.261,19.944,0
2.177,5.095,8.484,9.444,-18.692,12.003,18.475,0
2.282,4.714,8.793,9.567,18.973,12.713,18.843,0
2.389,5.091,10.355,9.545,-19.496,12.165,20.702,0
2.342,4.829,9.181,10.176,-19.927,-12.639,20.127,0
2.517,5.184,9.71,10.704,-21.013,-13.371,21.123,0
2.244,4.639,8.811,9.756,-19.341,-12.245,19.101,0
2.244,4.641,10.814,10.028,-20.685,12.349,-20.538,0
2.523,5.811,9.757,10.012,-20.227,12.917,19.949,0
2.477,5.187,9.309,9.842,19.478,12.735,-19.724,0
2.231,4.61,8.779,9.764,-19.155,-12.139,19.221,0
2.456,5.057,9.536,10.498,-20.727,-13.155,20.617,0
2.182,4.656,6.647,6.897,13.671,9.344,14.735,0
2.232,4.612,8.815,9.822,-19.159,-12.143,19.679,0
2.243,4.638,10.62,10.063,-20.636,12.382,-20.497,0
2.527,5.518,8.023,8.882,-17.34,-11.643,-18.129,1
2.636,5.771,8.673,9.177,19.291,12.491,18.103,1
2.718,5.926,9.916,11.379,-22.18,-14.427,-22.173,1
2.616,5.711,9.122,9.631,19.233,-12.634,19.103,1
2.566,5.547,8.229,9.257,-18.001,-12.032,19.06,1
2.647,5.71,8.496,9.552,-18.576,-12.407,20.339,1
2.679,5.773,9.072,10.177,-20.096,-13.202,19.866,1
2.609,5.598,8.32,9.278,-18.079,-12.077,-19.084,1
2.576,5.656,8.101,8.991,-17.547,-11.825,-18.198,1
2.602,5.605,8.503,9.385,-18.341,-12.196,18.945,1
2.531,5.674,8.921,9.688,-19.01,-12.54,-19.555,1
2.558,5.511,8.898,9.879,-19.27,-12.637,-20.302,1
2.781,6.22,9.298,11.02,-21.221,-14.15,-21.55,1
2.755,6.583,11.163,11.048,-22.309,14.496,22.3,1
2.643,5.582,8.745,9.848,-19.209,-12.675,19.441,1
2.672,5.687,8.771,9.898,-19.243,-12.747,-19.889,1
2.569,5.594,8.133,9.042,-17.65,-11.859,-18.144,1
2.687,6.002,9.259,9.787,19.48,13.061,-19.443,1
2.566,5.51,8.291,9.213,-17.982,-11.981,18.53,1
2.57,5.628,8.129,8.988,-17.56,-11.813,-18.173,1
2.62,5.678,8.359,9.34,-18.189,-12.179,19.647,1
2.396,5.347,8.891,9.887,-19.278,-12.579,-20.327,1
2.667,5.719,8.569,9.61,-18.702,-12.471,-19.628,1
2.721,5.88,8.684,9.914,-19.213,-12.854,20.343,1
2.553,7.071,8.464,10.117,-19.445,13.841,-19.805,2
2.506,5.454,9.982,11.729,-22.617,-14.512,-23.021,2
2.199,6.722,6.515,8.607,16.403,-12.075,16.258,2
2.681,5.925,11.828,11.78,-23.593,15.365,24.288,2
2.227,6.365,6.996,8.058,-16.124,11.259,-15.603,2
2.291,5.465,9.641,8.246,-17.933,11.575,17.197,2
2.415,6.829,7.124,9.208,-17.391,-13.874,17.939,2
2.536,6.861,7.594,9.751,-18.611,-13.574,18.544,2
2.441,6.387,7.505,9.819,-19.015,-13.021,18.501,2
2.383,5.579,8.557,9.272,18.19,-13.593,19.069,2
2.478,6.089,7.382,9.262,-17.917,12.755,-17.636,2
2.615,6.551,12.896,11.493,-23.821,14.821,-23.856,2
2.448,6.646,7.209,9.363,18.365,-12.716,17.657,2
2.795,6.152,12.681,12.218,24.694,15.332,-25.142,2
1.784,5.002,5.852,8.268,15.344,10.788,-15.909,2
2.741,7.403,8.92,12.03,-22.513,15.734,-23.217,3
2.307,7.587,7.464,8.519,16.654,12.683,16.667,3
2.627,7.062,8.525,11.379,21.406,14.939,21.599,3
2.153,6.148,7.15,11.287,20.515,14.365,21.219,3
2.681,8.963,8.941,10.583,-20.356,-15.072,-20.991,3
2.211,6.349,7.253,10.17,-19.05,13.418,19.015,3
2.576,6.989,8.408,12.41,-23.033,15.984,22.922,3
2.629,7.075,8.535,11.769,21.922,15.307,23.327,3
2.658,7.147,8.613,11.575,21.67,15.149,24.186,3
2.217,6.243,7.338,10.741,-19.788,13.866,-20.518,3
2.693,7.262,8.83,11.092,21.058,14.725,21.835,3
2.437,5.082,9.68,10.275,-20.261,-12.821,20.935,4
2.151,5.016,7.645,9.041,-17.386,-11.55,-18.513,4
2.08,4.704,7.497,8.486,-17.264,-11.085,-16.484,4
2.471,5.764,8.624,9.668,-18.854,-12.58,19.207,4
2.406,5.275,9.562,10.578,-20.697,15.027,-20.993,4
2.143,6.487,7.26,7.146,14.43,10.713,-14.601,5
2.0,5.749,6.831,7.941,16.222,10.825,-15.331,5
2.232,6.262,7.781,8.449,16.565,11.744,17.751,5
1.979,5.362,7.285,7.44,-14.803,10.13,-15.98,5
2.114,5.478,7.629,7.989,-15.805,10.738,-16.559,5
